from_station,to_station,speed(km/h),distance(m),travel_time(seconds)
Yverdon-les-Bains,Neuchâtel,152,45481,1080
Neuchâtel,Biel/Bienne,145,38650,960
St. Gallen,Gossau SG,138,13761,360
Gossau SG,Flawil,87,7246,300
Flawil,Uzwil,112,7489,240
Uzwil,Wil SG,123,12271,360
Wil SG,Winterthur,142,37758,960
Winterthur,Zürich Flughafen,118,25120,765
Zürich Flughafen,Zürich Oerlikon,79,5271,240
Zürich Oerlikon,Zürich HB,65,6464,360
St. Gallen,Gossau SG,138,13761,360
Gossau SG,Wil SG,135,27006,720
Wil SG,Winterthur,142,37758,960
Winterthur,Zürich Flughafen,116,25120,780
Zürich Flughafen,Zürich HB,70,11735,600
Zürich HB,Aarau,150,57682,1380
Aarau,Olten,120,17955,540
Olten,Solothurn,170,45325,960
Solothurn,Biel/Bienne,156,36463,840
Biel/Bienne,Neuchâtel,145,38650,960
Neuchâtel,Yverdon-les-Bains,161,45481,1020
Yverdon-les-Bains,Morges,128,46760,1320
Morges,Nyon,156,33802,780
Nyon,Genève,109,23606,780
Genève,Genève-Aéroport,63,7402,420
Genève-Aéroport,Genève,63,7402,420
Genève,Nyon,118,23606,720
Nyon,Morges,156,33802,780
Morges,Yverdon-les-Bains,134,46760,1260
Yverdon-les-Bains,Neuchâtel,152,45481,1080
Neuchâtel,Biel/Bienne,136,38650,1020
Biel/Bienne,Solothurn,168,36463,780
Solothurn,Olten,160,45325,1020
Olten,Aarau,135,17955,480
Aarau,Zürich HB,133,57696,1560
Zürich HB,Zürich Flughafen,64,11735,660
Zürich Flughafen,Winterthur,116,25120,780
Winterthur,Wil SG,151,37758,900
Wil SG,Gossau SG,135,27006,720
Gossau SG,St. Gallen,103,13761,480
St. Gallen,Gossau SG,138,13761,360
Gossau SG,Wil SG,135,27006,720
Wil SG,Winterthur,142,37758,960
Winterthur,Zürich Flughafen,116,25120,780
Zürich Flughafen,Zürich HB,70,11735,600
Zürich HB,Aarau,150,57682,1380
Aarau,Olten,120,17955,540
Olten,Solothurn,170,45325,960
Solothurn,Biel/Bienne,156,36463,840
Biel/Bienne,Neuchâtel,145,38650,960
Neuchâtel,Yverdon-les-Bains,161,45481,1020
Yverdon-les-Bains,Morges,128,46760,1320
Morges,Nyon,156,33802,780
Nyon,Genève,109,23606,780
Genève,Genève-Aéroport,63,7402,420
Genève-Aéroport,Genève,63,7402,420
Genève,Nyon,118,23606,720
Nyon,Morges,156,33802,780
Morges,Yverdon-les-Bains,134,46760,1260
Yverdon-les-Bains,Neuchâtel,152,45481,1080
Neuchâtel,Biel/Bienne,136,38650,1020
Biel/Bienne,Solothurn,168,36463,780
Solothurn,Olten,160,45325,1020
Olten,Aarau,135,17955,480
Aarau,Zürich HB,133,57696,1560
Zürich HB,Zürich Flughafen,64,11735,660
Zürich Flughafen,Winterthur,116,25120,780
Winterthur,Wil SG,151,37758,900
Wil SG,Gossau SG,135,27006,720
Gossau SG,St. Gallen,103,13761,480
Genève-Aéroport,Genève,63,7402,420
Genève,Nyon,118,23606,720
Nyon,Morges,156,33802,780
Morges,Yverdon-les-Bains,134,46760,1260
Yverdon-les-Bains,Neuchâtel,152,45481,1080
Neuchâtel,Biel/Bienne,136,38650,1020
Biel/Bienne,Grenchen Süd,145,19357,480
Grenchen Süd,Solothurn,147,17106,420
Solothurn,Olten,170,45325,960
Olten,Aarau,120,17955,540
Aarau,Zürich HB,133,57696,1560
Zürich HB,Zürich Flughafen,64,11735,660
Zürich Flughafen,Winterthur,116,25120,780
Winterthur,Wil SG,151,37758,900
Wil SG,Uzwil,123,12271,360
Uzwil,Flawil,112,7489,240
Flawil,Gossau SG,109,7246,240
Gossau SG,St. Gallen,118,13761,420
Basel SBB,Laufen,95,26973,1020
Laufen,Delémont,79,20968,960
Delémont,Moutier,84,12663,540
Moutier,Grenchen Nord,85,11337,480
Grenchen Nord,Biel/Bienne,122,18337,540
Biel/Bienne,Neuchâtel,145,38650,960
Neuchâtel,Yverdon-les-Bains,161,45481,1020
Yverdon-les-Bains,Morges,128,46760,1320
Morges,Nyon,156,33802,780
Nyon,Genève,109,23606,780
Genève,Genève-Aéroport,63,7402,420
Genève-Aéroport,Genève,63,7402,420
Genève,Nyon,118,23606,720
Nyon,Morges,156,33802,780
Morges,Yverdon-les-Bains,134,46760,1260
Yverdon-les-Bains,Neuchâtel,152,45481,1080
Neuchâtel,Biel/Bienne,136,38650,1020
Biel/Bienne,Grenchen Nord,110,18337,600
Grenchen Nord,Moutier,97,11337,420
Moutier,Delémont,76,12663,600
Delémont,Laufen,114,20968,660
Laufen,Basel SBB,90,26973,1080
Lugano,Bellinzona,95,34707,1320
Bellinzona,Arth-Goldau,105,163466,5580
Arth-Goldau,Luzern,80,36221,1620
Luzern,Olten,119,67674,2040
Olten,Basel SBB,118,49244,1500
Lugano,Bellinzona,95,34707,1320
Bellinzona,Arth-Goldau,105,163466,5580
Arth-Goldau,Luzern,80,36221,1620
Luzern,Olten,119,67674,2040
Olten,Basel SBB,118,49244,1500
Basel SBB,Olten,123,49244,1440
Olten,Luzern,116,67674,2100
Luzern,Arth-Goldau,84,36221,1560
Arth-Goldau,Bellinzona,105,162477,5580
Bellinzona,Lugano,99,34707,1260
Basel SBB,Olten,123,49244,1440
Olten,Luzern,116,67674,2100
Luzern,Arth-Goldau,84,36221,1560
Arth-Goldau,Bellinzona,105,162477,5580
Bellinzona,Lugano,99,34707,1260
Lugano,Chiasso,80,29226,1320
Zürich HB,Zug,94,33034,1260
Zug,Arth-Goldau,75,18654,900
Arth-Goldau,Bellinzona,105,162477,5580
Bellinzona,Lugano,99,34707,1260
Lugano,Mendrisio,80,19975,900
Mendrisio,Chiasso,69,9251,480
Lugano,Bellinzona,95,34707,1320
Bellinzona,Arth-Goldau,104,163466,5640
Arth-Goldau,Zug,75,18654,900
Zug,Zürich HB,86,33034,1380
Zürich HB,Zug,79,33034,1500
Zug,Arth-Goldau,66,18654,1020
Arth-Goldau,Bellinzona,105,162477,5580
Bellinzona,Lugano,95,34707,1320
Genève-Aéroport,Genève,63,7402,420
Genève,Nyon,109,23606,780
Nyon,Gland,81,5403,240
Gland,Morges,142,28399,720
Morges,Renens VD,104,10353,360
Renens VD,Lausanne,73,6090,300
Brig,Visp,123,12271,360
Visp,Leuk,163,27156,600
Leuk,Sierre/Siders,112,13052,420
Sierre/Siders,Sion,139,20851,540
Sion,Martigny,158,34245,780
Martigny,St-Maurice,103,17131,600
St-Maurice,Bex,60,4033,240
Bex,Aigle,92,9187,360
Aigle,Montreux,95,15864,600
Montreux,Vevey,83,8326,360
Vevey,Lausanne,108,25139,840
Lausanne,Renens VD,91,6090,240
